product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
123284,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
128408,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
128412,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123330,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123324,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123331,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123325,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
127323,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
127321,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123326,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123371,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123327,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123370,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
105498,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: MB / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
102552,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: MB / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
102551,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: MB / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
102550,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: MB / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
104482,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
102895,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
102897,unknown,UNKNOWN,0,normalized_part_type = UNKNOWN / confidence < 0.85,대기
102896,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
107152,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
104309,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
115207,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
107881,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
107877,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
109344,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
107880,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
113103,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
112524,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
113083,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: form_factor,대기
112098,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
112101,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
113025,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: MB,대기
123831,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
126105,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, mem_type, form_factor",대기
126104,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, mem_type, form_factor",대기
124227,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: form_factor,대기
124892,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
124905,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
124890,core_part,MB,0.95,AI 추천 후보 필수 product_specs 누락: chipset,대기
